shot_id,scene,slot,tier,description,elements,duration_target
S01_01,1,1,B,"Cold open — the terraces before dawn — tight on Altiplano's face, holding the beat",ALTIPLANO;TERRACE;MIST,6
S01_02,1,2,A,Cold open — the terraces before dawn — close on hands working the earth,ALTIPLANO;TERRACE;MIST,3
S01_03,1,3,B,Cold open — the terraces before dawn — texture — dust lifting off dry stone,ALTIPLANO;TERRACE;MIST,4
S01_04,1,4,C,Cold open — the terraces before dawn — insert — water finding the channel lip,ALTIPLANO;TERRACE;MIST,6
S01_05,1,5,C,Cold open — the terraces before dawn — tracking behind Altiplano along the wall,ALTIPLANO;TERRACE;MIST,4
S01_06,1,6,A,Cold open — the terraces before dawn — close on hands working the earth,ALTIPLANO;TERRACE;MIST,8
S02_01,2,1,B,Nayra wakes in the stone house — close on hands working the earth,NAYRA;STONE_HOUSE;OIL_LAMP,6
S02_02,2,2,B,Nayra wakes in the stone house — close on hands working the earth,NAYRA;STONE_HOUSE;OIL_LAMP,4
S02_03,2,3,B,"Nayra wakes in the stone house — high wide, the village small in the frame",NAYRA;STONE_HOUSE;OIL_LAMP,4
S02_04,2,4,C,"Nayra wakes in the stone house — medium on Nayra, wind moving the shawl",NAYRA;STONE_HOUSE;OIL_LAMP,8
S02_05,2,5,B,Nayra wakes in the stone house — texture — dust lifting off dry stone,NAYRA;STONE_HOUSE;OIL_LAMP,5
S02_06,2,6,B,Nayra wakes in the stone house — insert — coca leaves on wet cloth,NAYRA;STONE_HOUSE;OIL_LAMP,4
S02_07,2,7,B,Nayra wakes in the stone house — over-shoulder toward the far ridge,NAYRA;STONE_HOUSE;OIL_LAMP,8
S03_01,3,1,B,The water channel is dry — insert — water finding the channel lip,CHANNEL;NAYRA;DUST,5
S03_02,3,2,A,"The water channel is dry — high wide, the village small in the frame",CHANNEL;NAYRA;DUST,5
S03_03,3,3,C,"The water channel is dry — tight on Channel's face, holding the beat",CHANNEL;NAYRA;DUST,3
S03_04,3,4,C,The water channel is dry — insert — coca leaves on wet cloth,CHANNEL;NAYRA;DUST,6
S03_05,3,5,B,The water channel is dry — over-shoulder toward the far ridge,CHANNEL;NAYRA;DUST,5
S04_01,4,1,C,"Village assembly at the plaza — two-shot, neither of them looking at the other",PLAZA;ELDERS;CROWD,5
S04_02,4,2,B,"Village assembly at the plaza — high wide, the village small in the frame",PLAZA;ELDERS;CROWD,8
